false,308,10646099
false,6804,29356596
false,6460,12998759
false,17,440748
false,330,858891
false,5909,30066491
false,19,459120
false,4800,6304622
false,280,4431481
false,186,8924319
false,323,745624
false,3381,5439931
false,5832,100080233
false,266640,697904242
false,12300,12947959
false,3496,1452805
false,361,526257
false,3630,2498609
false,171,266040
false,11572,5574180
false,53694,22667538
false,330,989291
false,3094,1229624
false,2261,1087496
false,2280,4943220
false,1159,1478888
false,15,381297
false,108,113519
false,55,215339
false,17160,11371645
false,65115,42916624
false,3872,1837162
false,323,450507
false,6160,11689463
false,4662,7105150
false,180,327596
false,19116,14457226
false,342,360023
false,6384,7686296
false,29916,340340501
false,1360,5458207
false,368,188828
false,2295,1998754
false,4122,1840773
false,396,1083500
false,238,547809
false,7744,43070107
false,102,160272
false,330,192945
false,665,546700
false,45549,240230268
false,6080,3070493
false,530,1826055
false,4080,2673920
false,323,159992
false,340,265541
false,360,309944
false,2208,4919424
false,492,1974865
false,12753,66179337
false,1872,971469
false,1947,4062120
false,770,1056687
false,1016,7534165
false,848,427758
false,440,1020380
false,500,999443
false,5400,3144144
false,288,233417
false,12428,33482362
false,5460,76172010
false,4624,1771352
false,1512,653010
false,3322,7222444
false,2660,1860032
false,323,560775
false,4800,1817580
false,3000,1185835
false,300,1025736
false,1480,1099247
false,67,136354
false,1382,1000031
false,50568,159505538
false,9,74462
false,7248,6982172
false,391,229790
false,2240,15260451
false,5324,5414914
false,418,490466
false,20,365724
false,984,1992207
false,19,130654
false,4620,2300534
false,6447,5545569
false,4896,2493017
false,22,244766
false,1632,2864069
false,3172,10756273
false,399,254910
false,31,92348
false,1665,3916970
false,1744,8561406
false,1100,1953938
false,380,297638
false,1349,973628
false,2000,6253527
false,4590,2954966
false,13,84500
false,310,1588506
false,8280,7785939
false,828,1568784
false,41055,28467682
false,3708,3447370
false,5355,2724533
false,300,295989
false,2464,21644038
false,216,742386
false,336,294831
false,352,1168883
false,20100,13585636
false,8584,29920973
false,441,419116
false,6460,16019827
false,612,1259708
false,1365,1062863
false,4290,2696790
false,535,379581
false,1615,918189
false,6237,4353382
false,3388,15079217
false,984,2413128
false,399,393875
false,2140,6158644
false,192,732110
false,20884,18088571
false,342,467382
false,918,5015150
false,7524,48403789
false,320,443837
false,3960,2381983
false,11826,19587777
false,153,225555
false,255,210044
false,2048,1112328
false,360,762731
false,1348,3819262
false,1422,2548871
false,324,426921
false,2310,1461549
false,409,708793
false,242,430395
false,255,6792526
false,2090,919486
false,5491,2078575
false,3840,1460794
false,6555,2498230
false,4777,11439172
false,10659,6650386
false,4620,1718200
false,360,185782
false,8214,40087811
false,27810,23869037
false,7812,4084993
false,361,588858
false,172,222200
false,24300,36414190
false,5616,8197311
false,1000,565251
false,11100,6803971
false,378,300025
false,654,381367
false,80226,98044578
false,347,388214
false,1344,569814
false,8280,3072740
false,380,607132
false,12852,11051668
false,258,609322
false,437,313028
false,6880,4807838
false,5014,2620322
false,4121,2535513
false,4080,8719032
false,414,1053170
false,1480,1152803
false,26496,65271515
false,335,1734117
false,590,1203266
false,2618,1530252
false,6437,35355077
false,5100,30045241
false,1629,6700367
false,1748,6072495
false,17,61455
false,3760,2143383
false,280,154640
false,7590,3846755
false,441,259536
false,9025,6011586
false,209,150424
false,810,1645285
false,336,858851
false,4840,2634618
false,82,892543
false,150,139241
false,5424,3436012
false,6000,3084245
false,216,670579
false,3280,9667600
false,2048,1540498
false,10812,12492243
false,4050,4299176
false,136,385892
false,6080,4392894
false,816,2612480
false,19,97207
false,6300,4673764
false,15180,11109648
false,6048,2290996
false,607,1432648
false,2320,5333979
false,7106,2748114
false,2355,3011897
false,396,758450
false,6576,21648515
false,23016,20498486
false,3392,2908130
false,9936,10124463
false,1200,1646620
false,702,707590
false,59,221962
false,1598,1565724
false,246,555486
false,360,793307
false,11316,8493201
false,188,939719
false,75240,244177500
false,12580,5619326
false,21945,12448923
false,1185,6406149
false,2941,4151809
false,798,2377013
false,156,226453
false,4704,43785032
false,440,226164
false,3648,3959745
false,279,636704
false,1224,2177124
false,294,174886
false,264,396548
false,5292,3118386
false,2130,4318946
false,1953,3736588
false,7429,2803006
false,1020,840046
false,1632,10834042
false,15,184758
false,8778,11356334
false,240,143058
false,3971,1516091
false,18,65873
false,6840,3279673
false,3150,8610710
false,2320,8629357
false,1932,1327034
false,5016,5904050
false,2392,10977390
false,760,475359
false,855,2878235
false,396,247084
false,5202,27561503
false,6802,4835010
false,2069,5294100
false,46657,70453557
false,32,177779
false,27774,13249881
false,843,2046131
false,13,103489
false,833,1829785
false,8960,30292481
false,4913,2364074
false,6120,6620505
false,6804,2601587
false,10584,4588520
false,1152,3739225
false,18900,24764457
false,188,737615
false,20,126005
false,289,240138
false,7182,27462366
false,5776,2895161
